id,user_id,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_VLCdropped,QoA_VLCaudiorate,QoA_VLCaudioloss,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,QoS_operator,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
989,121,360,564.89246,24.65,0,43.78333333,0,1,2476,4,3,1,30,5,4,5,4,4,4
986,121,360,571.3591,29.68333333,0,43.96666667,0,1,2711,4,3,1,30,5,4,5,4,4,4
995,121,360,551.7555,25.6,1,45.56666667,0,1,4147,2,3,1,30,5,4,5,4,4,4
969,121,360,657.3302,25.35,1,45.51666667,0,1,6327,2,3,1,30,5,4,5,4,4,4
982,121,360,204.83931,29.76666667,0,43.96666667,0,1,3516,2,3,1,30,5,4,5,4,4,4
973,121,360,1052.9906,30.23333333,1,45.68333333,0,1,3496,4,3,1,30,5,4,5,4,4,4
988,121,360,731.46906,24.68333333,0,43.78333333,0,1,2309,4,3,1,30,5,4,5,4,4,4
994,121,360,472.51816,25.06666667,0,44.46666667,0,1,2382,2,3,1,30,5,4,5,4,4,4
980,121,240,54.970676,24.71666667,0,21.8,0,1,2601,4,3,1,30,5,4,5,4,3,4
977,121,360,487.38943,25.0,0,44.13333333,0,1,3186,2,3,1,30,5,4,5,4,4,4
975,121,240,115.84933,23.95,0,22.1,0,1,2568,4,3,1,30,5,4,5,4,4,4
990,121,360,654.60846,25.11666667,0,44.48333333,0,1,2519,4,3,1,30,5,4,5,4,4,4
978,121,360,655.04034,24.71666667,0,43.78333333,0,2,1335,2,3,1,30,5,4,5,4,3,4
996,121,360,728.14935,24.75,0,43.78333333,0,1,2745,4,3,1,30,5,4,5,4,4,4
974,121,360,360.16675,24.06666667,0,44.23333333,0,1,2447,4,3,1,30,5,4,5,4,4,4
983,121,360,585.26355,24.73333333,0,44.13333333,0,2,3118,4,3,1,30,5,4,5,4,4,4
993,121,360,424.29202,30.28333333,4,45.38333333,0,2,3860,4,3,1,30,5,4,5,4,4,4
992,121,360,1219.3162,30.83333333,1,45.7,0,2,4323,4,3,1,30,5,4,5,4,4,4
971,121,360,400.51532,29.85,0,43.91666667,0,1,2851,4,3,1,30,5,4,5,4,4,4
979,121,360,529.3915,23.95,0,44.51666667,0,2,3054,4,3,1,30,5,4,5,4,4,4
967,121,360,411.22794,29.6,0,43.63333333,0,1,2821,4,3,1,30,5,4,5,4,4,4
985,121,360,468.8714,24.95,0,44.13333333,0,1,2408,2,3,1,30,5,4,5,4,4,4
981,121,360,245.10068,29.7,0,43.96666667,0,1,2775,2,3,1,30,5,4,5,4,4,4
991,121,360,605.5292,25.36666667,1,44.85,0,2,2812,4,3,1,30,5,4,5,4,4,4
976,121,360,943.25085,25.78333333,1,45.2,0,1,4812,4,3,1,30,5,4,5,4,4,4
970,121,360,301.19464,25.38333333,0,44.85,0,1,4180,2,3,1,30,5,4,5,4,4,4
984,121,360,631.6078,29.8,0,43.96666667,0,1,3095,4,3,1,30,5,4,5,4,4,4
968,121,360,307.69067,29.71666667,0,43.96666667,0,1,2474,4,3,1,30,5,4,5,4,4,4
972,121,360,224.01334,30.1,0,44.26666667,0,1,4174,2,3,1,30,5,4,5,4,4,5
987,121,360,392.08102,30.1,0,44.28333333,0,1,3031,4,3,1,30,5,4,5,4,4,4
