id,user_id,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_VLCdropped,QoA_VLCaudiorate,QoA_VLCaudioloss,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,QoS_operator,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
1290,134,360,302.5083,30.4,0,44.18333333,0,1,1868,5,4,1,26,5,4,5,4,4,4
1295,134,360,281.48212,30.03333333,1,22.6,0,1,2893,5,4,1,26,5,4,5,3,4,3
1266,134,360,898.20355,25.2,1,45.2,0,2,4184,4,3,1,26,5,4,5,5,5,5
1272,134,360,659.4504,25.1,0,43.78333333,0,1,2566,4,1,1,26,5,5,4,3,4,3
1296,134,360,213.70285,29.8,4,21.81666667,0,1,3342,5,4,1,26,5,4,5,4,4,4
1288,134,360,235.08699,29.66666667,0,21.81666667,0,1,2506,5,4,1,26,5,5,5,3,4,4
1271,134,360,171.72276,24.88333333,0,21.8,0,1,2130,4,1,1,26,5,5,5,5,5,5
1292,134,360,235.16545,29.66666667,0,21.81666667,0,2,1270,5,4,1,26,5,5,5,5,5,5
1293,134,360,1044.5524,30.3,12,44.18333333,0,2,1826,5,4,1,26,5,4,5,4,4,4
1289,134,360,97.65776,11.91666667,0,21.81666667,0,1,4462,5,4,1,26,5,4,5,3,4,3
1270,134,360,482.2909,25.0,2,43.76666667,0,1,1492,4,1,1,26,5,5,5,5,5,5
1269,134,360,170.8144,30.08333333,4,44.21666667,1,4,32387,1,1,1,26,5,1,2,2,2,1
1294,134,360,471.29892,25.06666667,1,44.46666667,0,1,2488,5,4,1,26,5,5,5,5,5,5
1291,134,360,230.51723,25.15,1,22.65,0,1,1905,5,4,1,26,5,4,5,3,3,2
1268,134,360,188.81783,30.1,1,22.01666667,0,2,9477,4,1,1,26,5,3,4,2,4,2
1267,134,360,83.17416,12.08333333,0,21.8,0,1,1924,2,1,1,26,5,4,5,2,4,2
