ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3171985,22021,80,5708,1561,0.0,3.83,5705,0,30005,30005,0,2934,1557400,4.33,3.73,5.0
3172003,23145,81,5485,1484,0.0,3.85,5507,0,30006,30006,0,2934,1548396,4.33,3.78,5.0
3172017,17945,81,5721,1862,0.0,3.74,5728,0,30007,30007,0,2934,1558660,4.33,3.54,5.0
3172025,28496,83,5668,1407,0.0,3.87,5710,0,30004,30004,0,2934,1550860,4.33,3.84,5.0
3172037,23425,78,6048,1598,0.0,3.81,6018,0,30007,30007,0,2934,1547184,4.33,3.71,5.0
3172078,20921,81,5671,2019,0.0,3.69,5647,0,30006,30006,0,2966,1584752,4.34,3.45,5.0
3172086,22926,75,5677,1891,0.0,3.73,5647,0,30006,30006,0,2966,1574352,4.34,3.53,5.0
3172104,16925,80,5685,1859,0.0,3.74,5635,0,30006,30006,0,2966,1565252,4.34,3.55,5.0
3172117,16432,79,5668,2233,0.0,3.63,5621,0,30005,30005,0,2966,1583452,4.34,3.32,5.0
3172144,34733,76,5666,1448,0.0,3.86,5685,0,30018,30018,0,2934,1548260,4.33,3.81,5.0
3172355,39000,28,5530,711,0.0,4.08,5679,0,30009,30009,0,2966,1579592,4.34,4.33,5.0
3172160,34320,79,5656,1851,0.0,3.74,5588,0,30004,30004,0,2903,1545796,4.33,3.55,5.0
3172163,25492,102,5629,1609,0.0,3.81,5681,0,30008,30008,0,2903,1530152,4.33,3.7,5.0
3172171,22750,80,5693,1517,0.0,3.84,5689,0,30006,30006,0,2934,1544360,4.33,3.76,5.0
3172178,26407,70,5732,1586,0.0,3.82,5716,0,30004,30004,0,2934,1550016,4.33,3.72,5.0
3172191,24233,74,5652,1390,0.0,3.88,5654,0,30005,30005,0,2966,1583492,4.34,3.85,5.0
3172378,6906,77,2751,3268,0.506,1.0,2759,10089,19924,30013,7,2903,1531492,4.33,2.79,1.0
3172395,75271,24,5431,593,0.0,4.11,5809,0,30005,30005,0,2903,1571792,4.33,4.42,5.0
3172407,64380,31,5212,606,0.0,4.11,5736,0,30005,30005,0,2934,1579592,4.33,4.41,5.0
3172411,39900,22,5538,759,0.0,4.07,5656,0,30008,30008,0,2966,1569192,4.34,4.3,5.0
3172439,60022,35,4944,626,0.0,4.1,5633,0,30018,30018,0,2903,1543192,4.33,4.4,5.0
3172442,68231,30,5447,655,0.0,4.1,5735,0,30022,30022,0,2903,1527592,4.33,4.37,5.0
3172447,36046,26,5341,860,0.0,4.04,5575,0,30006,30006,0,2966,1579592,4.34,4.22,5.0
3172478,57103,26,5193,648,0.0,4.1,5564,0,30028,30028,0,2966,1588692,4.34,4.38,5.0
3172487,51164,29,4926,623,0.0,4.11,5660,0,30010,30010,0,2903,1558792,4.33,4.4,5.0
3172495,48300,32,5147,786,0.0,4.06,5745,0,30026,30026,0,2903,1562692,4.33,4.28,5.0
3172505,47570,28,4332,752,0.0,4.07,5797,0,30004,30004,0,2903,1550992,4.33,4.3,5.0
3172535,63534,41,4793,926,0.0,4.01,5606,0,30025,30025,0,2903,1653692,4.33,4.17,5.0
3172547,46244,32,4947,894,0.0,4.02,5661,0,30008,30008,0,2903,1545792,4.33,4.2,5.0
