ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
2792144,67200,31,6088,669,0.0,4.09,6391,0,30014,30014,0,2903,1601692,4.33,4.36,5.0
2792154,17333,43,5889,1450,0.0,3.86,5939,0,30004,30004,0,2903,1553696,4.33,3.81,5.0
2792158,27663,60,6047,1173,0.0,3.94,6077,0,30020,30020,0,2903,1582856,4.33,4.0,5.0
2792179,67662,68,6456,1165,0.0,3.94,6441,0,30005,30005,0,2934,1617662,4.33,4.0,5.0
2792185,68530,66,6100,1123,0.0,3.96,6077,0,30005,30005,0,2966,1672985,4.34,4.03,5.0
2792216,36454,62,5895,1358,0.0,3.89,6036,0,30003,30003,0,2966,1671692,4.34,3.87,5.0
2792224,24980,57,6087,1317,0.0,3.9,6070,0,30005,30005,0,2903,1557492,4.33,3.9,5.0
2792229,64918,36,5923,689,0.0,4.09,6384,0,30005,30005,0,2903,1561092,4.33,4.35,5.0
2792235,22272,46,6205,1378,0.0,3.88,6319,0,30008,30008,0,2903,1612892,4.33,3.86,5.0
2792236,42218,43,6453,1183,0.0,3.94,6425,0,30006,30006,0,2966,1595182,4.34,3.99,5.0
2792249,29421,32,5867,931,0.0,4.02,6027,0,30002,30002,0,2966,1604492,4.34,4.17,5.0
2792253,22122,55,5998,1462,0.0,3.86,5980,0,30004,30004,0,2966,1567892,4.34,3.8,5.0
2792269,3921,72,612,10622,2.111,1.0,735,20362,9644,30006,3,2966,1574392,4.34,1.0,1.0
2792270,39680,60,5928,1156,0.0,3.95,6097,0,30004,30004,0,2966,1650692,4.34,4.01,5.0
2792295,28155,62,5899,1344,0.0,3.89,6029,0,30003,30003,0,2903,1561841,4.33,3.88,5.0
2792296,5721,103,5710,4490,0.077,2.21,5642,2149,27854,30003,2,2934,1544982,4.33,2.27,3.46
2792298,54688,43,5648,849,0.0,4.04,5696,0,30003,30003,0,2903,1569492,4.33,4.23,5.0
2792317,15531,46,6893,1432,0.0,3.86,6877,0,30006,30006,0,2903,1542556,4.33,3.82,5.0
2792323,25733,41,6272,1016,0.0,3.99,6401,0,30021,30021,0,2934,1553536,4.33,4.11,5.0
2792327,28122,36,6360,1094,0.0,3.96,6386,0,30025,30025,0,2903,1542332,4.33,4.05,5.0
2792338,58729,38,5746,808,0.0,4.05,5944,0,30005,30005,0,2934,1539292,4.33,4.26,5.0
2792340,42880,50,6536,919,0.0,4.02,6586,0,30004,30004,0,2903,1559692,4.33,4.18,5.0
2792348,74250,42,6875,754,0.0,4.07,7290,0,30012,30012,0,2934,1605308,4.33,4.3,5.0
2792350,25083,72,6216,1449,0.0,3.86,6355,0,30004,30004,0,2903,1542089,4.33,3.81,5.0
2792356,10590,101,5807,3943,0.039,2.77,5738,1125,28878,30003,1,2934,1545792,4.33,2.49,4.22
2792362,13254,76,5851,2303,0.0,3.6,5804,0,30004,30004,0,2903,1545792,4.33,3.28,5.0
2792363,14958,52,6872,1478,0.0,3.85,6863,0,30002,30002,0,2903,1542512,4.33,3.79,5.0
2792386,41664,81,6159,1411,0.0,3.87,6117,0,30007,30007,0,2966,1591594,4.34,3.83,5.0
2792407,53026,71,6059,1243,0.0,3.92,6043,0,30008,30008,0,2903,1623222,4.33,3.95,5.0
2792425,34025,52,6690,1406,0.0,3.87,6638,0,30006,30006,0,2934,1560780,4.33,3.84,5.0
2792428,56866,42,6125,856,0.0,4.03,6171,0,30008,30008,0,2903,1571026,4.33,4.22,5.0
2792439,20243,68,5724,1497,0.0,3.85,5893,0,30003,30003,0,2966,1590198,4.34,3.78,5.0
2792448,15754,51,6047,1764,0.0,3.76,6004,0,30012,30012,0,2903,1550992,4.33,3.61,5.0
2792449,48882,45,5751,826,0.0,4.05,5821,0,30005,30005,0,2934,1554092,4.33,4.25,5.0
2792451,69902,42,5960,766,0.0,4.06,6745,0,30020,30020,0,2934,1563052,4.33,4.29,5.0
2792463,40364,23,6103,740,0.0,4.07,6153,0,30004,30004,0,2934,1604492,4.33,4.31,5.0
2792469,26626,27,6329,1119,0.0,3.96,6330,0,30007,30007,0,2966,1610535,4.34,4.03,5.0
2792478,57009,44,5600,891,0.0,4.02,5820,0,30036,30036,0,2903,1601058,4.33,4.2,5.0
2792479,18812,43,6216,1596,0.0,3.81,6295,0,30012,30012,0,2903,1559612,4.33,3.71,5.0
2792488,3148,89,1220,11016,2.642,1.0,1218,21766,8238,30004,6,2934,1539396,4.33,1.0,1.0
2792496,39312,65,6132,1174,0.0,3.94,6124,0,30005,30005,0,2934,1587692,4.33,3.99,5.0
2792507,70352,54,5905,966,0.0,4.0,5905,0,30006,30006,0,2903,1535392,4.33,4.14,5.0
2792514,45093,42,5722,856,0.0,4.04,5850,0,30010,30010,0,2934,1539292,4.33,4.22,5.0
2792515,54020,57,6082,957,0.0,4.01,6410,0,30008,30008,0,2934,1581212,4.33,4.15,5.0
2792517,43117,35,6107,869,0.0,4.04,6340,0,30002,30002,0,2966,1581212,4.34,4.21,5.0
2792521,52947,29,6017,652,0.0,4.1,6355,0,30010,30010,0,2966,1579772,4.34,4.38,5.0
2792534,31442,37,5885,1092,0.0,3.97,6020,0,30002,30002,0,2966,1619892,4.34,4.05,5.0
2792542,36740,33,5942,948,0.0,4.01,5979,0,30008,30008,0,2903,1537126,4.33,4.16,5.0
2792543,23786,69,6132,1416,0.0,3.87,6102,0,30005,30005,0,2966,1585697,4.34,3.83,5.0
2792546,43723,66,6043,1280,0.0,3.91,6200,0,30004,30004,0,2934,1733332,4.33,3.92,5.0
