ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
2679102,76203,30,5663,596,0.0,4.12,5813,0,30005,30005,0,2966,1622524,4.34,4.42,5.0
2679138,29244,38,5826,1076,0.0,3.97,6059,0,30006,30006,0,2903,1548492,4.33,4.06,5.0
2679174,88640,30,5916,565,0.0,4.13,6616,0,30032,30032,0,2966,1600292,4.34,4.44,5.0
2679187,54992,32,5743,661,0.0,4.1,6121,0,30010,30010,0,2934,1653492,4.33,4.37,5.0
2679193,39303,30,6048,740,0.0,4.07,6136,0,30012,30012,0,2934,1552692,4.33,4.31,5.0
2679211,63441,36,5707,712,0.0,4.08,6104,0,30016,30016,0,2903,1613956,4.33,4.33,5.0
2679220,17760,58,5723,1744,0.0,3.77,5678,0,30006,30006,0,2903,1579639,4.33,3.62,5.0
2679222,64512,60,6838,1069,0.0,3.97,7275,0,30004,30004,0,2934,1601372,4.33,4.07,5.0
2679246,88186,28,5980,564,0.0,4.13,6668,0,30004,30004,0,2966,1639492,4.34,4.45,5.0
2679257,85695,30,5914,701,0.0,4.09,6370,0,30005,30005,0,2966,1577492,4.34,4.34,5.0
2679266,56861,29,5255,636,0.0,4.1,6095,0,30005,30005,0,2934,1542892,4.33,4.39,5.0
2679284,88156,37,4799,699,0.0,4.08,6328,0,30009,30009,0,2903,1787892,4.33,4.34,5.0
2679302,56311,30,5471,625,0.0,4.11,6112,0,30016,30016,0,2934,1558292,4.33,4.4,5.0
2679329,79862,28,5977,661,0.0,4.09,6571,0,30006,30006,0,2903,1666400,4.33,4.37,5.0
2679336,19358,67,5734,1910,0.0,3.72,5697,0,30005,30005,0,2903,1544752,4.33,3.52,5.0
2679341,56326,30,5659,631,0.0,4.11,6044,0,30008,30008,0,2934,1563892,4.33,4.39,5.0
2679348,36061,32,5879,835,0.0,4.04,6061,0,30005,30005,0,2934,1565292,4.33,4.24,5.0
2679359,56000,37,4804,731,0.0,4.07,5917,0,30009,30009,0,2903,1538692,4.33,4.32,5.0
2679360,54613,29,5897,689,0.0,4.09,6102,0,30015,30015,0,2934,1559692,4.33,4.35,5.0
2679372,42000,35,5869,823,0.0,4.04,6090,0,30009,30009,0,2903,1541492,4.33,4.25,5.0
2679377,79156,29,6136,613,0.0,4.11,6337,0,30013,30013,0,2966,1640588,4.34,4.41,5.0
2679379,90030,29,4947,574,0.0,4.13,6194,0,30006,30006,0,2966,1600292,4.34,4.44,5.0
2679391,57796,35,5763,699,0.0,4.08,6086,0,30020,30020,0,2903,1640892,4.33,4.34,5.0
2679396,41030,29,5918,761,0.0,4.07,6105,0,30007,30007,0,2934,1596092,4.33,4.29,5.0
