ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3004709,38602,41,6121,879,0.0,4.03,6402,0,30004,30004,0,2934,1540892,4.33,4.21,5.0
3004715,44576,115,5699,1976,0.0,3.7,5830,0,30003,30003,0,2966,1569492,4.34,3.48,5.0
3004716,58856,58,3539,923,0.0,4.02,3963,0,30019,30019,0,2934,1561212,4.33,4.17,5.0
3004723,19061,55,5933,1676,0.0,3.79,5998,0,30004,30004,0,2966,1603092,4.34,3.66,5.0
3004724,23420,58,5731,1338,0.0,3.89,5706,0,30005,30005,0,2934,1548307,4.33,3.88,5.0
3004725,24132,50,6174,1346,0.0,3.89,6157,0,30004,30004,0,2903,1555381,4.33,3.88,5.0
3004733,56563,56,4883,951,0.0,4.01,5232,0,30030,30030,0,2966,1627172,4.34,4.15,5.0
3004738,28366,54,5899,1388,0.0,3.87,6013,0,30004,30004,0,2903,1593292,4.33,3.85,5.0
3004741,29160,45,6083,1193,0.0,3.94,6070,0,30003,30003,0,2966,1599092,4.34,3.98,5.0
3004746,22300,34,5818,1309,0.0,3.9,5926,0,30004,30004,0,2966,1569192,4.34,3.9,5.0
3004754,19601,66,5548,1397,0.0,3.87,5708,0,30004,30004,0,2934,1561664,4.33,3.84,5.0
3004763,21218,85,4900,2123,0.0,3.66,5048,0,30004,30004,0,2966,1587692,4.34,3.39,5.0
3004756,78841,42,5988,855,0.0,4.04,6128,0,30006,30006,0,2934,1584792,4.33,4.22,5.0
3004757,16631,44,5753,1678,0.0,3.79,5791,0,30007,30007,0,2966,1568809,4.34,3.66,5.0
3004764,27287,58,5633,1186,0.0,3.94,5681,0,30003,30003,0,2903,1554069,4.33,3.99,5.0
