ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3101696,46290,30,5442,759,0.0,4.06,5610,0,30013,30013,0,2903,1632892,4.33,4.3,5.0
3101702,44641,31,5603,757,0.0,4.07,5783,0,30011,30011,0,2934,1574392,4.33,4.3,5.0
3101727,49056,29,5372,777,0.0,4.06,5561,0,30013,30013,0,2903,1591292,4.33,4.28,5.0
3101762,52718,65,5864,1053,0.0,3.98,6101,0,30008,30008,0,2966,1565344,4.34,4.08,5.0
3101766,24230,69,5858,1614,0.0,3.81,6011,0,30006,30006,0,2903,1530292,4.33,3.7,5.0
3101784,73493,65,5832,1030,0.0,3.98,6209,0,30007,30007,0,2934,1547092,4.33,4.1,5.0
3101790,74711,77,5803,1178,0.0,3.94,6054,0,30003,30003,0,2966,1614539,4.34,3.99,5.0
3101793,70968,58,6037,957,0.0,4.01,6083,0,30035,30035,0,2966,1600292,4.34,4.15,5.0
3101803,78088,68,6136,1019,0.0,3.99,6131,0,30011,30011,0,2966,1664692,4.34,4.1,5.0
3101805,63875,47,5832,917,0.0,4.02,6075,0,30004,30004,0,2966,1618139,4.34,4.18,5.0
3101809,67961,62,5760,999,0.0,3.99,6131,0,30009,30009,0,2934,1607292,4.33,4.12,5.0
3101810,74523,62,6133,1032,0.0,3.99,6101,0,30002,30002,0,2966,1587692,4.34,4.1,5.0
3101814,89112,54,5988,978,0.0,4.0,6251,0,30006,30006,0,2966,1765739,4.34,4.13,5.0
3101905,37462,37,6076,880,0.0,4.03,6361,0,30007,30007,0,2966,1591292,4.34,4.21,5.0
3101909,40367,35,6166,808,0.0,4.05,6370,0,30009,30009,0,2966,1569692,4.34,4.26,5.0
3101925,27846,40,6365,1143,0.0,3.95,6404,0,30013,30013,0,2934,1545212,4.33,4.02,5.0
3101958,29952,38,6222,1084,0.0,3.97,6378,0,30003,30003,0,2934,1565372,4.33,4.06,5.0
3102002,34773,39,6240,930,0.0,4.01,6409,0,30009,30009,0,2934,1576892,4.33,4.17,5.0
3102072,38812,41,6177,855,0.0,4.04,6404,0,30041,30041,0,2934,1549901,4.33,4.22,5.0
3102098,39716,36,6532,839,0.0,4.05,6751,0,30006,30006,0,2966,1572572,4.34,4.24,5.0
3102138,43650,40,6036,894,0.0,4.03,6347,0,30004,30004,0,2966,1568252,4.34,4.2,5.0
3102146,40487,35,6142,812,0.0,4.05,6378,0,30017,30017,0,2966,1574012,4.34,4.26,5.0
3102142,35778,36,6720,873,0.0,4.03,6824,0,30008,30008,0,2966,1578332,4.34,4.21,5.0
3102144,31204,36,6180,1125,0.0,3.95,6334,0,30006,30006,0,2903,1571132,4.33,4.03,5.0
3102152,30104,42,6222,1079,0.0,3.97,6384,0,30009,30009,0,2934,1540892,4.33,4.06,5.0
3102159,41658,35,6193,830,0.0,4.05,6388,0,30004,30004,0,2966,1565372,4.34,4.24,5.0
3102169,25396,39,6353,1235,0.0,3.92,6372,0,30005,30005,0,2903,1529372,4.33,3.95,5.0
3102183,29925,37,6208,948,0.0,4.01,6366,0,30004,30004,0,2903,1539452,4.33,4.16,5.0
3102186,31926,38,6298,1017,0.0,3.99,6410,0,30007,30007,0,2934,1595612,4.33,4.11,5.0
3102212,37803,38,6181,934,0.0,4.01,6382,0,30042,30042,0,2934,1579772,4.33,4.17,5.0
3102243,28147,36,6990,1048,0.0,3.98,7035,0,30007,30007,0,2903,1552412,4.33,4.08,5.0
3102264,44437,36,6077,822,0.0,4.04,6364,0,30006,30006,0,2903,1545212,4.33,4.25,5.0
3102511,24027,36,6352,1268,0.0,3.91,6366,0,30007,30007,0,2903,1536572,4.33,3.93,5.0
3102515,43975,37,6087,825,0.0,4.05,6303,0,30012,30012,0,2966,1627292,4.34,4.25,5.0
3102531,27478,36,6337,1131,0.0,3.95,6373,0,30016,30016,0,2903,1530812,4.33,4.03,5.0
3102547,34886,39,6162,958,0.0,4.01,6387,0,30008,30008,0,2934,1575452,4.33,4.15,5.0
3102558,43875,37,6158,811,0.0,4.05,6392,0,30007,30007,0,2966,1566812,4.34,4.26,5.0
3102561,25792,36,6354,1260,0.0,3.91,6370,0,30006,30006,0,2903,1563932,4.33,3.94,5.0
3102566,34245,38,6207,897,0.0,4.02,6399,0,30015,30015,0,2934,1571132,4.33,4.19,5.0
3102576,41512,34,6157,813,0.0,4.05,6379,0,30002,30002,0,2966,1643172,4.34,4.26,5.0
3102577,34230,36,6180,963,0.0,4.0,6363,0,30012,30012,0,2903,1545212,4.33,4.14,5.0
3102578,28053,36,6206,1235,0.0,3.92,6334,0,30046,30046,0,2903,1620092,4.33,3.95,5.0
3102581,43283,35,6169,821,0.0,4.05,6393,0,30012,30012,0,2966,1630172,4.34,4.25,5.0
3102599,47630,36,6045,827,0.0,4.04,6359,0,30005,30005,0,2903,1561092,4.33,4.24,5.0
3102604,31926,38,6236,1160,0.0,3.95,6365,0,30004,30004,0,2934,1553852,4.33,4.0,5.0
3102625,26662,38,6339,1145,0.0,3.95,6399,0,30015,30015,0,2934,1558172,4.33,4.02,5.0
3102632,42697,37,6099,803,0.0,4.06,6371,0,30015,30015,0,2966,1625852,4.34,4.26,5.0
3102634,39058,37,6148,871,0.0,4.03,6375,0,30010,30010,0,2903,1542332,4.33,4.21,5.0
3102639,41973,37,6129,826,0.0,4.05,6401,0,30005,30005,0,2934,1582837,4.33,4.25,5.0
3102645,43987,38,6117,838,0.0,4.04,6406,0,30004,30004,0,2934,1577869,4.33,4.24,5.0
3102756,18022,64,6222,1974,0.0,3.7,6164,0,30006,30006,0,2934,1572292,4.33,3.48,5.0
3102758,16475,69,6138,1923,0.0,3.71,6095,0,30002,30002,0,2903,1531492,4.33,3.51,5.0
3102763,26710,42,5822,1156,0.0,3.95,5833,0,30002,30002,0,2966,1565292,4.34,4.01,5.0
3102766,29364,38,5752,1004,0.0,4.0,5748,0,30006,30006,0,2966,1579592,4.34,4.12,5.0
3102765,41288,32,5803,803,0.0,4.06,5832,0,30008,30008,0,2966,1614692,4.34,4.26,5.0
3102768,15539,66,5785,1962,0.0,3.71,5745,0,30005,30005,0,2934,1539292,4.33,3.48,5.0
3102770,17265,56,5716,1544,0.0,3.83,5713,0,30006,30006,0,2934,1547092,4.33,3.75,5.0
3102772,15335,56,5814,1837,0.0,3.74,5786,0,30005,30005,0,2934,1556192,4.33,3.56,5.0
3102786,70578,50,5739,807,0.0,4.05,6041,0,30003,30003,0,2966,1579592,4.34,4.26,5.0
3102782,10156,53,6038,2191,0.0,3.63,6005,0,30006,30006,0,2903,1528892,4.33,3.35,5.0
3102783,18019,55,5785,1742,0.0,3.77,5755,0,30007,30007,0,2934,1562692,4.33,3.62,5.0
3102788,38229,74,6109,1268,0.0,3.91,6109,0,30013,30013,0,2934,1548392,4.33,3.93,5.0
3102791,24403,34,6226,1130,0.0,3.96,6213,0,30005,30005,0,2966,1587432,4.34,4.03,5.0
3102799,46179,54,5842,1096,0.0,3.96,5853,0,30004,30004,0,2903,1541892,4.33,4.05,5.0
3102800,21125,33,5720,1096,0.0,3.97,5728,0,30007,30007,0,2966,1571792,4.34,4.05,5.0
3102802,27780,71,5780,1404,0.0,3.87,5755,0,30004,30004,0,2903,1537992,4.33,3.84,5.0
3102803,27699,69,5616,1336,0.0,3.89,5795,0,30009,30009,0,2934,1541892,4.33,3.88,5.0
3102806,15539,62,6226,2032,0.0,3.68,6175,0,30006,30006,0,2934,1569192,4.33,3.44,5.0
