ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3281593,25255,53,4950,1328,0.0,3.89,5117,0,30007,30007,0,2903,1574012,4.33,3.89,5.0
3281595,23491,59,2828,1228,0.226,1.47,3060,5537,24468,30005,3,2903,1562492,4.33,3.96,1.49
3281598,18155,50,4713,1387,0.0,3.88,4865,0,30010,30010,0,2966,1563932,4.34,3.85,5.0
3281600,7128,61,2043,3209,0.803,1.0,2181,13363,16644,30007,6,2903,1532252,4.33,2.81,1.0
3281603,9913,62,2620,3259,0.57,1.0,2663,10902,19124,30026,6,2934,1542332,4.33,2.79,1.0
3281606,8688,52,3838,2934,0.0,3.42,3836,0,30017,30017,0,2966,1563932,4.34,2.95,5.0
3281608,12463,49,2248,2271,0.745,1.0,2312,12816,17208,30024,6,2903,1527932,4.33,3.3,1.0
3281611,20137,41,2944,1342,0.15,2.02,2988,3919,26093,30012,2,2966,1579772,4.34,3.88,2.0
3281617,18675,41,2927,1255,0.13,2.42,3040,3448,26564,30012,2,2966,1598492,4.34,3.94,2.4
3281618,19742,43,3329,1233,0.103,2.84,3452,2798,27208,30006,2,2934,1545626,4.33,3.95,2.94
3281626,10377,49,3105,2237,0.063,3.03,3150,1772,28234,30006,1,2966,1572982,4.34,3.32,3.74
3281627,4500,51,2295,5046,0.391,1.0,2324,8440,21563,30003,4,2966,1563932,4.34,2.07,1.0
3281632,7987,39,3091,3436,0.047,2.84,3176,1334,28683,30017,1,2966,1571132,4.34,2.71,4.06
3281635,4717,45,2698,4200,0.394,1.0,2745,8486,21523,30009,5,2934,1542332,4.33,2.38,1.0
3281638,19047,39,3136,1346,0.125,2.47,3348,3330,26675,30005,2,2903,1545212,4.33,3.88,2.5
3281644,7351,43,2905,3053,0.371,1.0,2935,8126,21886,30012,5,2934,1539452,4.33,2.89,1.0
3281646,5400,42,3283,3997,0.256,1.0,3254,6116,23897,30013,4,2934,1543772,4.33,2.46,1.29
3281652,21497,45,3810,1187,0.0,3.93,3927,0,30006,30006,0,2903,1535192,4.33,3.99,5.0
3281661,18787,43,3807,1192,0.0,3.93,3929,0,30007,30007,0,2903,1533692,4.33,3.98,5.0
3281773,34049,29,5506,981,0.0,4.0,5663,0,30006,30006,0,2966,1573144,4.34,4.13,5.0
3281774,26520,30,5416,893,0.0,4.02,5614,0,30017,30017,0,2903,1531492,4.33,4.2,5.0
3281775,25064,31,5414,916,0.0,4.02,5616,0,30023,30023,0,2966,1593892,4.34,4.18,5.0
3281777,31700,29,5484,829,0.0,4.04,5589,0,30012,30012,0,2903,1561392,4.33,4.24,5.0
