ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3018066,22162,58,3556,1257,0.0,3.92,3752,0,30015,30015,0,2966,1607424,4.34,3.94,5.0
3018081,29120,52,3744,1071,0.0,3.97,3916,0,30006,30006,0,2934,1542852,4.33,4.07,5.0
3018082,58512,42,6263,979,0.0,4.0,6381,0,30006,30006,0,2934,1584192,4.33,4.13,5.0
3018106,46493,37,6032,756,0.0,4.06,6378,0,30010,30010,0,2903,1531632,4.33,4.3,5.0
3018119,11180,42,6245,1991,0.0,3.7,6281,0,30009,30009,0,2934,1543312,4.33,3.47,5.0
3018124,37184,26,5828,1576,0.0,3.82,5938,0,30003,30003,0,2934,1592971,4.33,3.72,5.0
3018127,19579,57,4609,1390,0.0,3.88,4683,0,30012,30012,0,2966,1588584,4.34,3.85,5.0
3018133,35245,41,6218,914,0.0,4.02,6406,0,30007,30007,0,2934,1544772,4.33,4.18,5.0
3018138,81718,28,5828,561,0.0,4.12,6092,0,30010,30010,0,2903,1538692,4.33,4.45,5.0
3018141,39600,64,3688,1119,0.0,3.96,4120,0,30006,30006,0,2903,1550524,4.33,4.03,5.0
3018153,32062,56,4171,1120,0.0,3.96,4324,0,30008,30008,0,2934,1558852,4.33,4.03,5.0
3018168,30567,53,5988,1014,0.0,3.99,6132,0,30009,30009,0,2934,1558372,4.33,4.11,5.0
3018175,46722,42,7293,1046,0.0,3.98,7474,0,30009,30009,0,2934,1666856,4.33,4.09,5.0
3018179,66760,95,6122,1493,0.0,3.85,6265,0,30003,30003,0,2966,1629692,4.34,3.78,5.0
3018182,30543,66,3998,1201,0.0,3.93,4171,0,30005,30005,0,2903,1532622,4.33,3.98,5.0
3018187,27587,38,6364,1122,0.0,3.95,6402,0,30011,30011,0,2903,1566672,4.33,4.03,5.0
3018190,64171,34,5850,704,0.0,4.09,6073,0,30003,30003,0,2966,1617258,4.34,4.34,5.0
3018205,46353,67,5691,1136,0.0,3.96,6027,0,30014,30014,0,2966,1620774,4.34,4.02,5.0
3018207,51679,51,6136,881,0.0,4.03,6456,0,30008,30008,0,2966,1625904,4.34,4.2,5.0
3018208,85088,43,6696,761,0.0,4.06,7238,0,30004,30004,0,2903,1653212,4.33,4.29,5.0
3018209,10835,41,6373,2077,0.0,3.67,6369,0,30009,30009,0,2966,1573972,4.34,3.42,5.0
3018212,24578,33,5251,1175,0.0,3.94,5437,0,30008,30008,0,2966,1563992,4.34,3.99,5.0
3018220,35151,40,6249,903,0.0,4.03,6381,0,30011,30011,0,2966,1605669,4.34,4.19,5.0
3018221,48164,34,6320,738,0.0,4.08,6402,0,30013,30013,0,2966,1585532,4.34,4.31,5.0
3018223,23044,57,3328,1314,0.0,3.9,3529,0,30011,30011,0,2966,1577502,4.34,3.9,5.0
3018230,53003,48,5994,1009,0.0,3.99,6044,0,30002,30002,0,2903,1576544,4.33,4.11,5.0
3018236,62301,63,5530,1087,0.0,3.96,5950,0,30003,30003,0,2903,1541822,4.33,4.06,5.0
3018239,26252,40,6188,1246,0.0,3.92,6167,0,30003,30003,0,2966,1600882,4.34,3.95,5.0
3018240,83680,42,6704,757,0.0,4.07,7101,0,30023,30023,0,2934,1709820,4.33,4.3,5.0
3018246,72827,58,5913,974,0.0,4.0,6097,0,30005,30005,0,2966,1564956,4.34,4.14,5.0
3018251,89200,36,6278,663,0.0,4.09,6866,0,30010,30010,0,2903,1592732,4.33,4.37,5.0
3018252,53819,41,6049,794,0.0,4.06,6402,0,30011,30011,0,2934,1549152,4.33,4.27,5.0
3018254,45390,98,6575,1760,0.0,3.77,6493,0,30003,30003,0,2934,1567221,4.33,3.61,5.0
3018266,81811,57,6057,1070,0.0,3.97,6243,0,30006,30006,0,2934,1541156,4.33,4.07,5.0
3018268,99612,31,5876,571,0.0,4.12,6138,0,30010,30010,0,2903,1739996,4.33,4.44,5.0
3018274,25173,86,6126,1821,0.0,3.74,6061,0,30004,30004,0,2903,1533132,4.33,3.57,5.0
3018275,14882,41,6218,1711,0.0,3.78,6182,0,30032,30032,0,2966,1571792,4.34,3.64,5.0
3018277,23843,63,5345,1485,0.0,3.85,5499,0,30012,30012,0,2903,1534156,4.33,3.78,5.0
3018278,28009,57,5133,1182,0.0,3.94,5247,0,30008,30008,0,2966,1581212,4.34,3.99,5.0
3018283,43382,29,5387,727,0.0,4.07,5876,0,30014,30014,0,2903,1532792,4.33,4.32,5.0
3018288,91265,37,5909,695,0.0,4.08,6492,0,30003,30003,0,2903,1633052,4.33,4.34,5.0
3018317,29669,57,3248,1132,0.0,3.96,3453,0,30008,30008,0,2966,1579772,4.34,4.02,5.0
3018320,69592,64,6245,1042,0.0,3.98,6263,0,30005,30005,0,2934,1552692,4.33,4.09,5.0
3018321,94015,39,6790,717,0.0,4.08,7263,0,30013,30013,0,2934,1715516,4.33,4.33,5.0
3018322,32580,33,5567,904,0.0,4.02,5847,0,30018,30018,0,2903,1528892,4.33,4.19,5.0
3018323,68526,67,5629,1052,0.0,3.98,5676,0,30004,30004,0,2966,1572782,4.34,4.08,5.0
3018325,44153,90,6542,2010,0.0,3.69,6634,0,30004,30004,0,2903,1544292,4.33,3.46,5.0
3018327,41480,39,4214,1516,0.0,3.84,4159,0,30004,30004,0,2934,1626532,4.33,3.76,5.0
3018346,9809,34,6404,1969,0.0,3.7,6390,0,30009,30009,0,2903,1531632,4.33,3.48,5.0
3018362,72522,56,6072,1008,0.0,3.99,6244,0,30008,30008,0,2966,1703556,4.34,4.11,5.0
3018364,97485,36,6024,604,0.0,4.11,7010,0,30004,30004,0,2934,1565372,4.33,4.41,5.0
3018376,72596,60,6419,1048,0.0,3.98,6385,0,30005,30005,0,2966,1780101,4.34,4.08,5.0
3018381,9677,36,6204,1991,0.0,3.69,6217,0,30004,30004,0,2903,1541852,4.33,3.47,5.0
3018383,46265,89,6883,1896,0.0,3.72,6785,0,30004,30004,0,2903,1598021,4.33,3.52,5.0
