ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
2460415,48499,63,9866,1028,0.0,3.99,9901,0,30012,30012,0,2934,1595857,4.33,4.1,5.0
2460429,35556,28,6197,866,0.0,4.03,6376,0,30010,30010,0,2903,1542332,4.33,4.22,5.0
2460447,55295,67,5662,1429,0.0,3.87,5655,0,30006,30006,0,2966,1563686,4.34,3.82,5.0
2460462,43798,28,4781,757,0.0,4.06,5224,0,30015,30015,0,2903,1630172,4.33,4.3,5.0
2460511,27992,27,5665,852,0.0,4.04,5998,0,30006,30006,0,2903,1548092,4.33,4.23,5.0
2460693,32962,64,5501,1421,0.0,3.86,5735,0,30006,30006,0,2903,1543772,4.33,3.83,5.0
2462322,15705,40,5824,2296,0.0,3.6,5816,0,30011,30011,0,2903,1538476,4.33,3.29,5.0
2462337,30645,39,6123,1187,0.0,3.93,6306,0,30007,30007,0,2903,1555292,4.33,3.99,5.0
2462357,47613,30,5555,705,0.0,4.08,5797,0,30011,30011,0,2903,1565676,4.33,4.34,5.0
2462362,30240,37,6360,1169,0.0,3.94,6378,0,30004,30004,0,2903,1530812,4.33,4.0,5.0
2462366,27739,36,6152,1068,0.0,3.98,6355,0,30006,30006,0,2966,1564396,4.34,4.07,5.0
2462371,27513,40,6086,1338,0.0,3.89,6294,0,30004,30004,0,2934,1561196,4.33,3.88,5.0
2462385,24504,37,6053,1033,0.0,3.99,6274,0,30005,30005,0,2966,1571132,4.34,4.09,5.0
2462387,34133,38,6303,944,0.0,4.01,6384,0,30009,30009,0,2903,1535132,4.33,4.16,5.0
2462394,33160,40,6004,1019,0.0,3.99,6310,0,30010,30010,0,2903,1561052,4.33,4.1,5.0
2462395,26409,40,6332,1153,0.0,3.95,6391,0,30014,30014,0,2966,1620092,4.34,4.01,5.0
2462412,23470,43,6367,1311,0.0,3.9,6392,0,30007,30007,0,2966,1588464,4.34,3.9,5.0
2462418,31652,40,6079,1073,0.0,3.97,6331,0,30002,30002,0,2903,1533692,4.33,4.07,5.0
2462421,35472,37,6035,903,0.0,4.02,6348,0,30007,30007,0,2903,1621532,4.33,4.19,5.0
2462425,22176,52,5917,1295,0.0,3.9,6078,0,30005,30005,0,2903,1535278,4.33,3.91,5.0
2462446,42054,33,6019,750,0.0,4.07,6153,0,30026,30026,0,2934,1544292,4.33,4.3,5.0
2462449,42054,33,6019,750,0.0,4.07,6153,0,30026,30026,0,2934,1544292,4.33,4.3,5.0
2462450,43496,40,6135,845,0.0,4.04,6375,0,30005,30005,0,2903,1561052,4.33,4.23,5.0
2462468,26398,41,6290,1229,0.0,3.92,6346,0,30005,30005,0,2903,1548092,4.33,3.96,5.0
2462471,29715,40,7391,1154,0.0,3.95,7439,0,30005,30005,0,2934,1544156,4.33,4.01,5.0
2462476,40204,39,6174,872,0.0,4.04,6381,0,30007,30007,0,2966,1631612,4.34,4.21,5.0
2462477,50850,39,6698,823,0.0,4.05,7416,0,30003,30003,0,2934,1566060,4.33,4.25,5.0
2462481,40550,41,6269,895,0.0,4.03,6387,0,30009,30009,0,2966,1627292,4.34,4.19,5.0
2462497,54908,43,6097,820,0.0,4.05,6410,0,30005,30005,0,2934,1621532,4.33,4.25,5.0
2462528,76470,58,6949,997,0.0,3.99,7176,0,30009,30009,0,2903,1610472,4.33,4.12,5.0
2462689,26582,39,9559,1052,0.0,3.98,9555,0,30003,30003,0,2966,1586344,4.34,4.08,5.0
2462718,6125,28,5434,4393,0.07,2.32,5426,1976,28029,30005,1,2934,1544292,4.33,2.31,3.6
2462730,11265,26,6180,1520,0.0,3.84,6189,0,30006,30006,0,2934,1548572,4.33,3.76,5.0
2463006,41615,43,5766,919,0.0,4.02,6067,0,30025,30025,0,2966,1578446,4.34,4.18,5.0
2463020,12263,39,6218,2046,0.0,3.68,6179,0,30003,30003,0,2934,1544292,4.33,3.43,5.0
2463042,33687,49,5755,978,0.0,4.0,6063,0,30011,30011,0,2903,1583908,4.33,4.13,5.0
2463071,77301,52,5934,1085,0.0,3.97,6135,0,30003,30003,0,2934,1618532,4.33,4.06,5.0
2463077,13753,42,6178,1752,0.0,3.77,6139,0,30004,30004,0,2966,1591084,4.34,3.61,5.0
2463118,90784,52,6699,934,0.0,4.01,6868,0,30004,30004,0,2934,1792092,4.33,4.17,5.0
2463140,46570,53,6126,1026,0.0,3.99,6119,0,30003,30003,0,2934,1597196,4.33,4.1,5.0
2463143,30187,28,6233,843,0.0,4.04,6534,0,30008,30008,0,2934,1563892,4.33,4.23,5.0
2463206,19610,48,5928,1318,0.0,3.9,6032,0,30033,30033,0,2903,1562124,4.33,3.9,5.0
2463313,44544,59,6246,1164,0.0,3.94,6533,0,30003,30003,0,2934,1586096,4.33,4.0,5.0
2463337,20726,51,6357,1410,0.0,3.87,6384,0,30007,30007,0,2934,1558317,4.33,3.83,5.0
2463359,22953,42,5837,1063,0.0,3.98,5948,0,30002,30002,0,2966,1582152,4.34,4.07,5.0
2463380,36664,80,5586,1243,0.0,3.92,5713,0,30007,30007,0,2903,1528852,4.33,3.95,5.0
2463387,16135,23,5325,1232,0.0,3.92,5400,0,30012,30012,0,2934,1547092,4.33,3.95,5.0
2463389,62310,41,5143,813,0.0,4.05,5684,0,30021,30021,0,2966,1645944,4.34,4.26,5.0
2463400,16616,53,6084,1609,0.0,3.81,6076,0,30020,30020,0,2903,1537004,4.33,3.7,5.0
2463414,29466,36,5839,1068,0.0,3.97,5846,0,30007,30007,0,2934,1554892,4.33,4.07,5.0
2463424,40937,92,5721,1239,0.0,3.92,5916,0,30008,30008,0,2966,1615139,4.34,3.95,5.0
2463426,40904,23,6034,691,0.0,4.08,6136,0,30018,30018,0,2903,1554092,4.33,4.35,5.0
2463444,71479,53,5894,1026,0.0,3.99,5990,0,30005,30005,0,2966,1587530,4.34,4.1,5.0
2463476,39393,47,5867,1107,0.0,3.96,6077,0,30033,30033,0,2934,1588957,4.33,4.04,5.0
2463500,75866,52,5824,924,0.0,4.02,6346,0,30005,30005,0,2966,1640588,4.34,4.17,5.0
2463502,35902,34,5766,887,0.0,4.03,6065,0,30003,30003,0,2903,1540892,4.33,4.2,5.0
2463519,40807,49,5928,849,0.0,4.04,6156,0,30019,30019,0,2934,1562908,4.33,4.23,5.0
2463525,41954,58,6203,1229,0.0,3.92,6335,0,30009,30009,0,2903,1538774,4.33,3.96,5.0
2463527,49275,31,6582,766,0.0,4.06,6930,0,30010,30010,0,2934,1597052,4.33,4.29,5.0
2463530,36450,26,6048,831,0.0,4.05,6358,0,30009,30009,0,2966,1625852,4.34,4.24,5.0
2463551,35889,32,5986,826,0.0,4.05,6322,0,30005,30005,0,2934,1563932,4.33,4.25,5.0
2463558,56800,59,5193,888,0.0,4.03,5595,0,30006,30006,0,2966,1599052,4.34,4.2,5.0
2463568,37978,41,5439,942,0.0,4.01,6006,0,30007,30007,0,2966,1582566,4.34,4.16,5.0
2463570,36504,28,5645,875,0.0,4.03,5686,0,30004,30004,0,2903,1556192,4.33,4.21,5.0
2463581,36450,32,6130,786,0.0,4.06,6383,0,30009,30009,0,2903,1568252,4.33,4.28,5.0
2463582,85771,52,6746,915,0.0,4.02,7295,0,30010,30010,0,2966,1591832,4.34,4.18,5.0
2463583,37273,95,6077,1847,0.0,3.74,6007,0,30015,30015,0,2903,1556656,4.33,3.55,5.0
2463607,77883,59,6374,1046,0.0,3.98,6932,0,30009,30009,0,2934,1600436,4.33,4.09,5.0
2463608,33080,33,6227,891,0.0,4.03,6331,0,30012,30012,0,2966,1572572,4.34,4.2,5.0
2463618,45882,78,5482,1300,0.0,3.91,5546,0,30004,30004,0,2966,1565907,4.34,3.91,5.0
2463619,50563,23,5572,672,0.0,4.09,6076,0,30013,30013,0,2934,1713732,4.33,4.36,5.0
2463631,44043,83,5800,1691,0.0,3.79,6013,0,30006,30006,0,2966,1583492,4.34,3.65,5.0
2463639,86571,52,6571,894,0.0,4.03,6728,0,30009,30009,0,2966,1646324,4.34,4.2,5.0
2463645,23054,62,5858,1628,0.0,3.8,5881,0,30008,30008,0,2934,1573092,4.33,3.69,5.0
2463651,26097,49,7050,1678,0.0,3.79,7159,0,30028,30028,0,2903,1540819,4.33,3.66,5.0
2463661,24145,72,5682,1548,0.0,3.83,5679,0,30007,30007,0,2934,1545060,4.33,3.74,5.0
2463672,10804,26,6365,5280,0.0,2.73,6389,0,30004,30004,0,2966,1565372,4.34,1.99,5.0
2463677,19452,59,6066,1556,0.0,3.82,6096,0,30018,30018,0,2903,1542662,4.33,3.74,5.0
2463683,24246,35,6238,1100,0.0,3.97,6327,0,30009,30009,0,2966,1568252,4.34,4.05,5.0
2463693,40500,25,5422,889,0.0,4.02,5534,0,30010,30010,0,2903,1581356,4.33,4.2,5.0
2463704,33792,27,6047,958,0.0,4.0,6327,0,30009,30009,0,2903,1563932,4.33,4.15,5.0
2463710,32676,34,6279,926,0.0,4.02,6384,0,30020,30020,0,2966,1568252,4.34,4.17,5.0
2463715,35454,67,6276,1145,0.0,3.95,6406,0,30004,30004,0,2934,1568646,4.33,4.02,5.0
