id,user_id,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_VLCdropped,QoA_VLCaudiorate,QoA_VLCaudioloss,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,QoS_operator,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
1146,128,360,107.97487,0.133333333,1,1.1,0,2,21652,2,3,1,27,5,1,5,3,4,1
1158,128,360,519.19037,29.7,0,43.96666667,0,1,2583,4,3,1,27,5,4,5,4,4,4
1140,128,360,670.1113,30.08333333,0,44.31666667,0,1,3061,4,3,1,27,5,4,4,4,5,4
1147,128,360,43.52804,6.633333333,12,12.13333333,0,4,329271,1,3,1,27,5,1,1,1,1,1
1159,128,360,660.4654,30.08333333,0,44.25,0,1,2686,4,3,1,27,5,4,4,4,4,4
1155,128,360,472.11877,25.05,0,44.46666667,0,1,1987,4,3,1,27,5,4,5,5,5,5
1160,128,360,412.99054,29.86666667,0,44.26666667,0,1,3864,4,3,1,27,5,3,4,4,4,4
1164,128,360,399.94077,30.05,0,44.2,0,1,2055,4,3,1,27,5,4,5,5,5,5
1139,128,360,607.00195,25.06666667,0,44.46666667,0,1,2497,4,3,1,27,5,4,4,5,5,5
1145,128,360,692.90955,6.45,0,12.26666667,0,1,3966,2,3,1,27,5,3,3,3,4,3
1157,128,360,724.4732,24.65,0,43.78333333,0,1,2109,4,3,1,27,5,5,5,5,5,5
1163,128,360,301.682,25.46666667,1,45.2,0,2,5967,2,3,1,27,5,3,5,4,4,4
1150,128,360,466.15067,25.06666667,0,44.46666667,0,1,2736,4,3,1,27,5,4,4,3,4,4
1152,128,360,614.01294,25.31666667,1,45.2,0,2,5777,4,3,1,27,5,4,4,4,4,4
1151,128,360,702.69946,24.95,0,44.13333333,0,1,4071,4,3,1,27,5,3,4,4,4,5
1154,128,360,466.34106,30.45,1,45.65,0,1,2767,4,3,1,27,5,4,5,5,5,5
1165,128,360,281.69537,29.55,0,43.5,0,1,2820,4,3,1,27,5,5,4,4,5,5
1162,128,360,731.3587,25.25,1,45.53333333,0,3,4467,4,3,1,27,5,3,5,5,5,5
1153,128,360,1222.3351,30.93333333,0,45.7,0,1,4573,4,3,1,27,5,4,4,4,4,4
1149,128,360,728.969,24.73333333,0,43.78333333,0,1,1950,4,3,1,27,5,4,4,5,4,4
1161,128,360,327.31406,29.6,0,43.63333333,0,1,2383,4,3,1,27,5,3,4,5,5,5
1156,128,360,819.0215,25.4,1,45.21666667,0,1,2838,4,3,1,27,5,4,5,5,5,5
1144,128,360,17.650549,12.18333333,6,22.41666667,0,5,74901,4,3,1,27,5,2,2,3,3,2
1148,128,360,392.27704,30.08333333,0,44.25,0,2,1191,4,3,1,27,5,5,5,5,5,4
1142,128,360,556.0555,29.71666667,0,43.96666667,0,1,2356,2,3,1,27,5,2,4,3,2,4
1143,128,360,365.163,29.26666667,3,44.43333333,0,6,37972,4,3,1,27,5,1,1,2,2,1
1141,128,360,364.98032,24.98333333,0,44.13333333,0,1,3184,4,3,1,27,5,5,5,5,5,5
