id,user_id,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_VLCdropped,QoA_VLCaudiorate,QoA_VLCaudioloss,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,QoS_operator,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
910,117,360,736.818,30.1,0,44.26666667,0,2,1722,4,3,0,29,5,4,5,4,4,4
920,117,240,115.198235,23.96666667,0,22.1,0,1,1793,4,3,0,29,5,4,5,4,4,4
917,117,360,224.30946,30.05,0,44.21666667,0,1,3698,2,3,0,29,5,4,5,4,4,4
898,117,360,486.0724,25.1,0,44.46666667,0,1,1946,4,3,0,29,5,3,5,3,3,3
903,117,360,614.666,25.43333333,0,45.2,0,1,3465,2,3,0,29,5,4,5,4,4,4
911,117,360,413.11743,29.66666667,0,43.96666667,0,1,3265,4,3,0,29,5,4,5,4,4,4
897,117,360,994.75146,30.75,1,45.36666667,0,1,9728,4,3,0,29,5,2,4,3,3,2
907,117,360,60.98933,3.95,13,7.016666667,0,2,103729,1,3,0,29,5,1,1,3,2,2
902,117,360,564.63257,25.08333333,0,44.48333333,0,1,2419,2,3,0,29,5,4,5,4,4,4
906,117,360,453.99234,25.0,0,44.13333333,0,1,2564,2,3,0,29,5,4,5,4,4,4
899,117,360,393.6395,30.06666667,0,44.23333333,0,1,3593,2,3,0,29,5,4,5,3,4,3
921,117,360,1044.8209,25.78333333,1,45.2,0,1,4526,4,3,0,29,5,4,5,4,4,4
913,117,360,708.25836,25.23333333,1,45.2,0,1,4112,2,3,0,29,5,4,5,4,4,4
904,117,360,475.57126,30.65,1,45.7,0,3,7450,2,3,0,29,5,4,5,4,5,4
919,117,360,359.7141,24.08333333,0,44.25,0,1,2216,2,3,0,29,5,4,5,4,4,4
905,117,360,424.48007,30.33333333,1,45.36666667,0,1,4013,4,3,0,29,5,4,5,4,4,4
918,117,360,1055.1833,30.11666667,1,45.35,0,1,3148,4,3,0,29,5,4,5,4,4,4
908,117,360,43.191174,12.95,24,19.01666667,3,3,123318,1,3,0,29,5,1,1,2,1,1
909,117,360,900.42395,30.08333333,0,44.26666667,0,1,2982,4,3,0,29,5,4,5,4,4,4
912,117,360,446.39322,22.58333333,19,34.6,1,6,40045,4,3,0,29,5,2,3,3,3,2
914,117,360,334.63806,31.06666667,1,45.41666667,0,1,4112,4,3,0,29,5,4,5,4,4,4
901,117,360,475.19608,24.96666667,2,44.46666667,0,2,3766,4,3,0,29,5,4,5,3,4,4
900,117,360,732.90027,24.9,0,44.13333333,0,1,2424,2,3,0,29,5,4,5,3,4,4
933,118,360,326.19992,29.71666667,1,43.96666667,0,1,2800,2,3,1,35,5,4,4,4,3,4
931,118,360,659.17914,25.61666667,1,45.86666667,0,1,3295,2,3,1,35,5,4,5,4,4,4
936,118,360,382.78873,29.8,0,43.96666667,0,1,2249,2,3,1,35,5,4,4,4,4,4
927,118,360,611.1785,25.43333333,1,44.85,0,1,2604,4,3,1,35,5,4,5,4,4,4
934,118,360,661.5214,30.1,0,44.26666667,0,1,2615,2,3,1,35,5,4,5,4,4,4
