id,user_id,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_VLCdropped,QoA_VLCaudiorate,QoA_VLCaudioloss,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,QoS_operator,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
1048,124,360,205.05992,29.76666667,0,43.96666667,0,1,2669,2,3,1,30,5,4,5,4,3,4
1037,124,360,1052.9753,30.2,1,45.66666667,0,1,4736,4,3,1,30,5,4,5,4,4,4
1045,124,240,55.091602,24.75,0,21.81666667,0,1,2466,4,3,1,30,5,4,5,4,4,4
1036,124,360,224.23976,30.05,0,44.2,0,1,2630,2,3,1,30,5,4,5,4,4,4
1051,124,360,438.10886,24.58333333,0,43.78333333,0,2,4025,4,3,1,30,5,4,4,4,4,4
1032,124,360,383.6528,29.68333333,0,43.96666667,0,1,2782,2,3,1,30,5,4,5,4,4,4
1038,124,360,1052.9951,30.18333333,1,45.65,0,2,2575,2,3,1,30,5,4,5,4,4,4
1033,124,360,657.85864,25.51666667,1,45.53333333,0,1,5975,4,3,1,30,5,4,5,4,4,4
1040,124,240,115.408134,23.98333333,0,22.1,0,1,2579,4,3,1,30,5,4,5,4,4,4
1050,124,360,652.68396,29.66666667,0,43.96666667,0,1,3036,4,3,1,30,5,4,5,3,3,4
1047,124,360,245.2117,29.65,0,43.95,0,1,2247,2,3,1,30,5,4,5,4,4,4
1039,124,360,360.47705,23.9,0,44.2,0,2,3357,2,3,1,30,5,4,5,4,4,4
1035,124,360,399.1577,30.01666667,0,44.16666667,0,1,2083,2,3,1,30,5,4,5,4,4,4
1034,124,360,313.8171,25.31666667,1,44.85,0,1,3814,2,3,1,30,5,4,5,4,4,4
1049,124,360,587.04865,25.08333333,0,44.46666667,0,2,1421,4,3,1,30,5,4,5,4,3,4
1043,124,360,454.26862,24.7,0,43.78333333,0,1,2342,2,3,1,30,5,4,5,4,4,4
1044,124,360,736.0207,23.83333333,0,43.88333333,0,1,2231,4,3,1,30,5,4,5,4,4,4
1041,124,360,954.21045,25.71666667,1,45.2,0,1,4055,2,3,1,30,5,4,5,4,4,4
1031,124,360,676.97943,30.13333333,0,44.65,0,1,2118,4,3,1,30,5,4,5,4,4,4
1042,124,360,487.41016,25.06666667,0,44.46666667,0,1,2128,4,3,1,30,5,4,5,4,4,4
